JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Suriname,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,D,D,,D,29,31
Niger,No. of incoming service contacts by channel-Mail / post,Units,0,0,,0,D,
Guinea Bissau,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,188,D,,D,D
Suriname,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,,D,D,23398
Poland,Tax cases under internal review procedures-No. of cases initiated in FY,Units,134900,D,D,D,D,D
Namibia,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,0,1,D,3,D,D
Suriname,Percentage of payments received electronically-By number of payments,Units,D,D,,41,100,100
Moldova,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,467899,452875,4666897,D,D,D
Burundi,Length of service (No. of staff at the end of FY)-Over 19 years,Units,0,0,0,0,0,D
Iceland,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,D,D,D,D,1833
Finland,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,D,D,D,6077,D,4548
Nepal,Age distribution (No. of staff at the end of FY)-35-44 years,Units,,,640,617,558,D
Paraguay,No. of incoming service contacts by channel-E-mail,Units,11518,21269,98604,,63068,D
Guyana,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,230,277,D,D,D,357
Niger,Staff strength levels -Departures in FY,Units,0,0,D,D,36,0
"Congo, Democratic Republic of",Percentage of payments received electronically-By number of payments,Units,0,0,D,D,D,D
Central African Republic,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,D,D,12,8
Dominican Republic,Percentage of payments received electronically-By number of payments,Units,73.43,75.34,82,D,80,74.42
Lao People's Democratic Republic,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,0,280,D,D
"Congo, Republic of",No. of FTEs in LTO / program-Total,Units,131,139,89,,251,D
Togo,On-time return filing-Corporate income tax-No. of returns filed on time,Units,4133,4882,D,7042,7850,8185
Rwanda,No. of incoming service contacts by channel-Telephone call,Units,D,D,D,D,116877,152868
"Congo, Democratic Republic of",Percentage of payments received electronically-By value of payments,Units,0,0,D,D,D,D
Romania,Age distribution (No. of staff at the end of FY)-35-44 years,Units,6602,5898,4867,4488,D,3284
Niger,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,89,246,D,D,112,112
Dominica,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,107,136,67,133,154
Suriname,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,,D,D,1298
Kyrgyz Republic,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,38224,34813,,391,D,D
Senegal,Percentage of payments received electronically-By number of payments,Units,D,D,D,47.2,D,D
Côte d'Ivoire,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,,,D,3639
Vietnam,FTEs by function of the tax administration-Other functions,Units,D,D,588,8229,22738,7234
Zimbabwe,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,325,878,0,2493,3029,D
Paraguay,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,389925,444046,538296,455887,D,D
Burkina Faso,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,,,84,D,D,80.1
Papua New Guinea,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,11132,9000,D,D,3693,D
São Tomé and Príncipe,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,1800,4,6,6
Japan,On-time return filing-Corporate income tax-No. of returns expected,Units,D,D,D,2949000,3009704,3065180
Togo,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,141,172,D,127,48,118
Iceland,No. of incoming service contacts by channel-E-mail,Units,D,D,D,D,250000,66633
São Tomé and Príncipe,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,D,D,5000,9,16,17
Indonesia,No. of incoming service contacts by channel-Mail / post,Units,D,D,220556,367424,D,D
"Azerbaijan, Republic of",Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,D,D,0,D,D,D
Pakistan,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,0,D,0,D,D,D
Argentina,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,D,D,1267028,1266433
Tajikistan,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,4194,4835,3832,4313,4511,D
Uzbekistan,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,D,D,58,D,71,43
Tajikistan,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,,,D,119
Niger,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,18,22,D,78,182,293
Cameroon,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Corporate income tax,Thousands,D,D,0,D,D,D
Cameroon,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,D,D,0,D,D,D
Cameroon,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,D,D,0,D,D,D
Lao People's Democratic Republic,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,8689,0,D,D
Norway,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,58817,51959,63419,D,47391,1200
Dominican Republic,Percentage of payments received electronically-By value of payments,Units,73.31,75.1,73,D,87.4,95.56
Angola,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,,,D,D,1892,18770
Burkina Faso,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,,,13,29,D,23
Luxembourg,Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,490,481,481,500,483
Montserrat,Length of service (No. of staff at the end of FY)-5-9 years,Units,2,1,12,14,D,
Montenegro,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,D,D
Nigeria,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,,D,D,1050
Botswana,FTEs by function of the tax administration-Other functions,Units,424,422,193,D,D,D
Ghana,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,D,22976,24115,32168
Kazakhstan,FTEs by function of the tax administration-Other functions,Units,9,D,-2673,10526,3104,0
Cameroon,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,64,D,3,D,0,2030
Dominica,Percentage of payments received electronically-By value of payments,Units,1.62,1.61,D,D,0,0
Chad,On-time return filing-Value added tax-No. of returns expected,Units,1050,1205,D,D,D,1800
Suriname,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,,,,D,3024,2262
Rwanda,No. of incoming service contacts by channel-Mail / post,Units,D,D,D,D,0,D
Turks and Caicos Islands,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,65,83,20,54,4,D
Niger,Tax cases under internal review procedures-No. of cases initiated in FY,Units,74,74,D,138,405,143
Chad,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,578,575,D,D,D,255
Chad,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,1348,1481,D,D,D,579
Guinea Bissau,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,122,,D,D
Canada,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,D,D,23378,25502
Lao People's Democratic Republic,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,63016,0,D,D
Lesotho,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,D,D,D,0,D,D
"Congo, Republic of",No. of taxpayers included under the LTO / program-Corporate taxpayers,Units,290,284,319,,387,D
Lesotho,On-time return filing-Value added tax-No. of returns expected,Units,1951,1893,2929,3149,D,D
Malawi,ICT expenditure for tax as prorportion of total ICT expenditure,Units,,,2.49,10,39,D
"Congo, Republic of",Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,2017,2105,2051,,4717,D
Montenegro,Percentage of payments received electronically-By number of payments,Units,0,0,20,0,D,D
"Azerbaijan, Republic of",Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,590,496,D,D
"Congo, Republic of",Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,19,18,56,,13,D
Fiji,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,,D,D,1040,0,D
"Timor-Leste, Dem. Rep. of",FTEs by function of the tax administration-Other functions,Units,42,43,D,70,53,D
Montenegro,Percentage of payments received electronically-By value of payments,Units,0,0,0,0,D,D
Ghana,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,3877,5975,D,D
Pakistan,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,,,1000,D
St. Kitts and Nevis,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,0,0,D,0
Chad,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,D,D,D,1217
Montserrat,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,4,5,7,9,D,
El Salvador,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,2,1,,D,D,15
"Timor-Leste, Dem. Rep. of",FTEs by function of the tax administration-Human resource management,Units,,,,,2,D
"Azerbaijan, Republic of",On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,0,D,D,D
Dominica,Percentage of payments received electronically-By number of payments,Units,0.7,0.85,D,D,0,0
Pakistan,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,653,580,279,D,D,D
Montenegro,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,0,0,0,D,D,D
Lesotho,Percentage of payments received electronically-By value of payments,Units,D,D,100,0,99.61,99.61
